iter	RMSE
0	14.20302322
1	13.48842563
2	12.82682849
3	12.20302424
4	11.64410367
5	11.20751845
6	10.72626585
7	10.31607371
8	9.944720185
9	9.542623618
10	9.187517865
11	8.875881267
12	8.594259826
13	8.355004355
14	8.101919215
15	7.849415232
16	7.638429505
17	7.44781983
18	7.264969542
19	7.116262281
20	6.964208497
21	6.818329264
22	6.696867545
23	6.581326129
24	6.471379882
25	6.388857185
26	6.297027711
27	6.22561495
28	6.148066088
29	6.070053148
30	6.012279588
31	5.946682257
32	5.889733016
33	5.83676823
34	5.781565357
35	5.740936076
36	5.701986728
37	5.669176908
38	5.641362634
39	5.607249665
40	5.578658504
41	5.553902479
42	5.529788555
43	5.508641381
44	5.488183036
45	5.465200079
46	5.445503895
47	5.424944956
48	5.400151338
49	5.374624866
50	5.354548452
51	5.343303902
52	5.328340254
53	5.304889335
54	5.289942565
55	5.276019228
56	5.261372604
57	5.241482147
58	5.220221732
59	5.207063268
60	5.191720915
61	5.178781324
62	5.16834401
63	5.153098437
64	5.146972503
65	5.12793124
66	5.120714726
67	5.115746621
68	5.109003414
69	5.097216172
70	5.088091601
71	5.08371234
72	5.074779456
73	5.066698698
74	5.05933948
75	5.049827253
76	5.044303245
77	5.035356568
78	5.026760402
79	5.024307697
80	5.013627305
81	5.010621463
82	5.002876545
83	4.990606305
84	4.98389665
85	4.973667816
86	4.964765597
87	4.951725926
88	4.942560152
89	4.932351446
90	4.924652848
91	4.914865002
92	4.907264161
93	4.900301355
94	4.89609583
95	4.888091107
96	4.879965346
97	4.873234351
98	4.86326195
99	4.857863434
