iter	Passed	Remaining
0	131	12981
1	132	6501
2	134	4344
3	136	3277
4	138	2625
5	139	2189
6	141	1877
7	142	1642
8	144	1459
9	145	1309
10	146	1185
11	147	1081
12	148	993
13	149	920
14	151	856
15	152	798
16	153	748
17	154	702
18	155	662
19	156	625
20	157	592
21	158	562
22	159	534
23	160	508
24	161	485
25	162	463
26	164	445
27	165	426
28	166	408
29	167	391
30	168	375
31	169	360
32	170	346
33	171	333
34	172	320
35	173	308
36	174	297
37	175	286
38	176	276
39	177	266
40	178	256
41	180	249
42	181	240
43	182	232
44	183	224
45	184	217
46	186	209
47	187	202
48	188	195
49	189	189
50	190	182
51	191	176
52	192	170
53	193	165
54	195	159
55	196	154
56	197	148
57	198	143
58	199	138
59	200	133
60	201	128
61	202	124
62	203	119
63	204	115
64	205	110
65	206	106
66	208	102
67	209	98
68	210	94
69	212	90
70	213	87
71	214	83
72	215	79
73	216	76
74	217	72
75	218	69
76	219	65
77	220	62
78	221	58
79	222	55
80	224	52
81	225	49
82	226	46
83	227	43
84	228	40
85	229	37
86	230	34
87	232	31
88	233	28
89	234	26
90	235	23
91	236	20
92	237	17
93	238	15
94	239	12
95	241	10
96	242	7
97	243	4
98	244	2
99	245	0
