iter	Passed	Remaining
0	174	174649
1	177	88466
2	180	59933
3	183	45643
4	185	36965
5	188	31171
6	190	27062
7	192	23904
8	195	21509
9	197	19520
10	198	17882
11	200	16497
12	201	15325
13	203	14324
14	204	13447
15	206	12682
16	207	12006
17	209	11423
18	211	10929
19	213	10447
20	214	10013
21	216	9614
22	217	9247
23	219	8911
24	220	8602
25	221	8312
26	223	8057
27	225	7832
28	227	7605
29	228	7392
30	230	7199
31	231	7014
32	233	6840
33	235	6676
34	236	6520
35	238	6373
36	239	6246
37	241	6118
38	243	5995
39	244	5876
40	246	5762
41	247	5655
42	249	5550
43	250	5451
44	252	5355
45	254	5283
46	256	5198
47	257	5114
48	259	5035
49	260	4957
50	262	4883
51	263	4812
52	265	4742
53	266	4675
54	268	4615
55	270	4557
56	271	4496
57	273	4438
58	274	4382
59	276	4327
60	277	4273
61	279	4222
62	280	4172
63	282	4125
64	283	4085
65	285	4040
66	287	3998
67	288	3955
68	290	3913
69	291	3873
70	292	3833
71	294	3794
72	295	3756
73	297	3722
74	299	3693
75	301	3661
76	302	3627
77	304	3594
78	305	3561
79	306	3530
80	308	3499
81	309	3469
82	310	3432
83	312	3404
84	314	3380
85	315	3354
86	317	3327
87	318	3302
88	320	3277
89	321	3252
90	323	3227
91	324	3202
92	325	3178
93	327	3159
94	329	3136
95	330	3115
96	332	3093
97	333	3070
98	335	3049
99	336	3028
100	337	3008
101	339	2988
102	340	2968
103	342	2952
104	344	2936
105	345	2917
106	347	2898
107	348	2879
108	350	2862
109	351	2845
110	353	2829
111	354	2812
112	356	2795
113	358	2783
114	359	2767
115	361	2751
116	362	2733
117	363	2718
118	365	2702
119	366	2687
120	367	2673
121	369	2656
122	370	2642
123	372	2630
124	373	2617
125	376	2609
126	377	2595
127	379	2582
128	380	2570
129	382	2558
130	383	2546
131	385	2535
132	387	2528
133	389	2516
134	390	2504
135	392	2493
136	393	2481
137	395	2470
138	397	2459
139	398	2447
140	399	2436
141	400	2422
142	402	2413
143	404	2403
144	405	2393
145	407	2382
146	408	2372
147	410	2362
148	412	2353
149	413	2343
150	415	2333
151	416	2325
152	418	2315
153	419	2305
154	421	2295
155	422	2286
156	424	2277
157	425	2267
158	426	2258
159	428	2249
160	429	2239
161	431	2231
162	433	2224
163	434	2215
164	436	2206
165	437	2198
166	438	2189
167	440	2181
168	441	2173
169	443	2164
170	444	2156
171	446	2151
172	448	2144
173	450	2136
174	451	2128
175	452	2119
176	454	2112
177	455	2104
178	457	2096
179	458	2089
180	460	2085
181	462	2080
182	464	2073
183	465	2065
184	467	2058
185	468	2051
186	470	2045
187	471	2038
188	473	2031
189	475	2025
190	476	2019
191	478	2013
192	479	2006
193	481	1999
194	482	1992
195	484	1987
196	485	1980
197	487	1974
198	489	1969
199	491	1964
200	492	1958
201	494	1951
202	495	1945
203	496	1938
204	498	1933
205	500	1928
206	501	1922
207	503	1917
208	505	1914
209	507	1908
210	508	1902
211	510	1896
212	511	1891
213	513	1885
214	514	1879
215	515	1872
216	517	1866
217	519	1862
218	521	1860
219	523	1855
220	524	1849
221	526	1845
222	528	1839
223	529	1834
224	531	1829
225	532	1823
226	534	1820
227	536	1815
228	538	1811
229	539	1806
230	541	1802
231	543	1800
232	546	1799
233	550	1801
234	552	1797
235	553	1792
236	555	1787
237	556	1782
238	558	1777
239	559	1773
240	561	1768
241	563	1764
242	565	1761
243	566	1756
244	568	1751
245	569	1746
246	571	1741
247	572	1736
248	574	1731
249	575	1726
250	576	1721
251	578	1717
252	580	1714
253	582	1712
254	584	1709
255	586	1705
256	588	1701
257	589	1696
258	591	1691
259	593	1688
260	595	1686
261	597	1683
262	599	1679
263	600	1674
264	602	1669
265	603	1664
266	604	1660
267	606	1656
268	612	1665
269	615	1663
270	617	1660
271	618	1656
272	620	1652
273	622	1649
274	624	1647
275	627	1645
276	630	1644
277	632	1641
278	633	1637
279	635	1633
280	636	1628
281	638	1626
282	640	1623
283	642	1619
284	644	1616
285	645	1612
286	647	1608
287	648	1603
288	650	1599
